model,fold,protein,task,length,lbin,genus,new,matched
baseline_esm2,5,B1P1I3,propep,33,30-34,Chilobrachys,False,1
baseline_esm2,5,B1P1I4,propep,33,30-34,Chilobrachys,False,1
baseline_esm2,5,B1P1I5,propep,24,20-24,Chilobrachys,False,1
baseline_esm2,5,B1P1I6,propep,24,20-24,Chilobrachys,False,1
baseline_esm2,5,B1VAF3,propep,10,10-14,Phytoplasma,True,1
baseline_esm2,5,B1XF62,propep,37,35-39,Escherichia,False,1
baseline_esm2,5,B1YJS1,propep,9,5-9,Exiguobacterium,True,1
baseline_esm2,5,B2A6B5,propep,10,10-14,Natranaerobius,True,1
baseline_esm2,5,B2G856,propep,8,5-9,Limosilactobacillus,True,1
baseline_esm2,5,B2GD71,propep,8,5-9,Limosilactobacillus,True,1
baseline_esm2,5,B2IQ02,propep,12,10-14,Streptococcus,True,1
baseline_esm2,5,B2KAB7,propep,42,40-44,Yersinia,False,0
baseline_esm2,5,B2MW54,propep,7,5-9,Haemaphysalis,False,1
baseline_esm2,5,B2RH57,propep,28,25-29,Porphyromonas,False,1
baseline_esm2,5,B2TK69,propep,9,5-9,Clostridium,True,0
baseline_esm2,5,B2V0A7,propep,9,5-9,Clostridium,True,0
baseline_esm2,5,B2ZB95,pep,7,5-9,Drosophila,False,0
baseline_esm2,5,B2ZB95,pep,9,5-9,Drosophila,False,1
baseline_esm2,5,B2ZB95,pep,14,10-14,Drosophila,False,1
baseline_esm2,5,B2ZB95,propep,42,40-44,Drosophila,False,0
baseline_esm2,5,B2ZB95,propep,26,25-29,Drosophila,False,1
baseline_esm2,5,B2ZB96,pep,7,5-9,Drosophila,False,0
baseline_esm2,5,B2ZB96,pep,9,5-9,Drosophila,False,1
baseline_esm2,5,B2ZB96,pep,14,10-14,Drosophila,False,1
baseline_esm2,5,B2ZB96,propep,40,40-44,Drosophila,False,0
baseline_esm2,5,B2ZB96,propep,26,25-29,Drosophila,False,0
baseline_esm2,5,B2ZB98,pep,7,5-9,Drosophila,False,0
baseline_esm2,5,B2ZB98,pep,9,5-9,Drosophila,False,1
baseline_esm2,5,B2ZB98,pep,14,10-14,Drosophila,False,1
baseline_esm2,5,B2ZB98,propep,40,40-44,Drosophila,False,0
baseline_esm2,5,B2ZB98,propep,26,25-29,Drosophila,False,0
baseline_esm2,5,B2ZB99,pep,7,5-9,Drosophila,False,0
baseline_esm2,5,B2ZB99,pep,9,5-9,Drosophila,False,1
baseline_esm2,5,B2ZB99,pep,14,10-14,Drosophila,False,1
baseline_esm2,5,B2ZB99,propep,42,40-44,Drosophila,False,0
baseline_esm2,5,B2ZB99,propep,26,25-29,Drosophila,False,1
baseline_esm2,5,B2ZBA0,pep,7,5-9,Drosophila,False,0
baseline_esm2,5,B2ZBA0,pep,9,5-9,Drosophila,False,1
baseline_esm2,5,B2ZBA0,pep,14,10-14,Drosophila,False,1
baseline_esm2,5,B2ZBA0,propep,40,40-44,Drosophila,False,0
baseline_esm2,5,B2ZBA0,propep,23,20-24,Drosophila,False,0
baseline_esm2,5,B2ZBA1,pep,7,5-9,Drosophila,False,1
baseline_esm2,5,B2ZBA1,pep,9,5-9,Drosophila,False,1
baseline_esm2,5,B2ZBA1,pep,14,10-14,Drosophila,False,1
baseline_esm2,5,B2ZBA1,propep,43,40-44,Drosophila,False,0
baseline_esm2,5,B2ZBA1,propep,23,20-24,Drosophila,False,1
baseline_esm2,5,B3EWM3,pep,9,5-9,Delia,False,0
baseline_esm2,5,B3FIN4,propep,33,30-34,Cyriopagopus,False,1
baseline_esm2,5,B3FIS2,propep,28,25-29,Cyriopagopus,False,1
baseline_esm2,5,B3FIS3,propep,28,25-29,Cyriopagopus,False,1
baseline_esm2,5,B3FIS4,propep,28,25-29,Cyriopagopus,False,1
baseline_esm2,5,B3H587,propep,28,25-29,Arabidopsis,False,1
baseline_esm2,5,B3H5Q2,pep,15,15-19,Arabidopsis,False,1
baseline_esm2,5,B3QZT2,propep,10,10-14,Phytoplasma,True,1
baseline_esm2,5,B4THR7,propep,35,35-39,Salmonella,False,1
baseline_esm2,5,B5E4L9,propep,12,10-14,Streptococcus,True,1
baseline_esm2,5,B5ZB18,propep,13,10-14,Ureaplasma,True,1
baseline_esm2,5,B6DD59,propep,33,30-34,Lycosa,False,1
baseline_esm2,5,B6IB31,propep,37,35-39,Escherichia,False,0
baseline_esm2,5,B7GIR0,propep,9,5-9,Anoxybacillus,True,1
baseline_esm2,5,B7HE75,propep,9,5-9,Bacillus,True,1
baseline_esm2,5,B7HQK0,propep,9,5-9,Bacillus,True,1
baseline_esm2,5,B7IIV4,propep,9,5-9,Bacillus,True,1
baseline_esm2,5,B7JQ28,propep,9,5-9,Bacillus,True,1
baseline_esm2,5,B7L5E9,propep,37,35-39,Escherichia,False,0
baseline_esm2,5,B7LZY9,propep,37,35-39,Escherichia,False,0
baseline_esm2,5,B7M9V0,propep,37,35-39,Escherichia,False,0
baseline_esm2,5,B7MV44,propep,37,35-39,Escherichia,False,0
baseline_esm2,5,B7NB47,propep,37,35-39,Escherichia,False,1
baseline_esm2,5,B7NUP2,propep,37,35-39,Escherichia,False,0
baseline_esm2,5,B7URT6,propep,37,35-39,Escherichia,False,0
baseline_esm2,5,B8DHK8,propep,9,5-9,Listeria,True,1
baseline_esm2,5,B8FUS1,propep,9,5-9,Desulfitobacterium,True,1
baseline_esm2,5,B8I178,propep,9,5-9,Ruminiclostridium,True,1
baseline_esm2,5,B8K1V9,pep,41,40-44,Micrurus,False,0
baseline_esm2,5,B8K1V9,propep,50,45-50,Micrurus,False,0
baseline_esm2,5,B8K1V9,propep,23,20-24,Micrurus,False,0
baseline_esm2,5,B8ZPV1,propep,12,10-14,Streptococcus,True,1
baseline_esm2,5,B9DNE8,propep,9,5-9,Staphylococcus,True,1
baseline_esm2,5,B9DU56,propep,12,10-14,Streptococcus,True,1
baseline_esm2,5,B9E020,propep,9,5-9,Clostridium,True,0
baseline_esm2,5,B9ENM6,propep,17,15-19,Salmo,False,1
baseline_esm2,5,B9IZ18,propep,9,5-9,Bacillus,True,1
baseline_esm2,5,B9MRB7,propep,10,10-14,Caldicellulosiruptor,True,0
baseline_esm2,5,B9TQX1,propep,39,35-39,Acipenser,False,1
baseline_esm2,5,B9TQX2,propep,36,35-39,Sparus,False,1
baseline_esm2,5,B9TQX3,propep,36,35-39,Dicentrarchus,False,1
baseline_esm2,5,B9TQX4,propep,37,35-39,Rattus,False,1
baseline_esm2,5,C0HJK2,pep,8,5-9,Dinoponera,False,0
baseline_esm2,5,C0HJK4,pep,9,5-9,Dinoponera,False,1
baseline_esm2,5,C0HK27,propep,16,15-19,Dioclea,False,0
baseline_esm2,5,C0HK27,propep,11,10-14,Dioclea,False,0
baseline_esm2,5,C0HKS3,pep,18,15-19,Agrotis,False,0
baseline_esm2,5,C0HKS3,propep,25,25-29,Agrotis,False,0
baseline_esm2,5,C0HKS3,propep,20,20-24,Agrotis,False,0
baseline_esm2,5,C0HKS5,pep,18,15-19,Agrotis,False,0
baseline_esm2,5,C0HKS5,propep,26,25-29,Agrotis,False,0
baseline_esm2,5,C0HKS5,propep,20,20-24,Agrotis,False,0
baseline_esm2,5,C0HKU2,pep,10,10-14,Agrotis,False,1
baseline_esm2,5,C0HL17,pep,26,25-29,Heliothis,False,1
baseline_esm2,5,C0HL17,pep,7,5-9,Heliothis,False,1
baseline_esm2,5,C0HL17,pep,18,15-19,Heliothis,False,1
baseline_esm2,5,C0HL17,pep,33,30-34,Heliothis,False,1
baseline_esm2,5,C0HL17,pep,8,5-9,Heliothis,False,1
baseline_esm2,5,C0HL17,propep,44,40-44,Heliothis,False,1
baseline_esm2,5,C0HL17,propep,23,20-24,Heliothis,False,1
baseline_esm2,5,C0M7I0,propep,12,10-14,Streptococcus,True,1
baseline_esm2,5,C0ME76,propep,12,10-14,Streptococcus,True,1
baseline_esm2,5,C1BJ98,propep,8,5-9,Osmerus,False,1
baseline_esm2,5,C1C7A1,propep,12,10-14,Streptococcus,True,1
baseline_esm2,5,C1CE94,propep,12,10-14,Streptococcus,True,1
baseline_esm2,5,C1CKH0,propep,12,10-14,Streptococcus,True,1
baseline_esm2,5,C1CRK7,propep,12,10-14,Streptococcus,True,1
baseline_esm2,5,C1ETN9,propep,9,5-9,Bacillus,True,1
baseline_esm2,5,C1FVW6,propep,9,5-9,Clostridium,True,0
baseline_esm2,5,C1KVI7,propep,9,5-9,Listeria,True,1
baseline_esm2,5,C3L3J4,propep,9,5-9,Clostridium,True,0
baseline_esm2,5,C3L6X4,propep,9,5-9,Bacillus,True,1
baseline_esm2,5,C3P9C8,propep,9,5-9,Bacillus,True,1
baseline_esm2,5,C4L4N3,propep,9,5-9,Exiguobacterium,True,1
baseline_esm2,5,C4YMJ3,propep,38,35-39,Candida,False,1
baseline_esm2,5,C4YNQ5,propep,40,40-44,Candida,False,0
baseline_esm2,5,C4YSF6,propep,32,30-34,Candida,False,1
baseline_esm2,5,C4Z9Z8,propep,9,5-9,Agathobacter,True,0
baseline_esm2,5,C4ZY59,propep,37,35-39,Escherichia,False,1
baseline_esm2,5,C5D5G7,propep,9,5-9,Geobacillus,True,1
baseline_esm2,5,C6EVG7,pep,10,10-14,Heloderma,False,0
baseline_esm2,5,C6EVG7,pep,11,10-14,Heloderma,False,0
baseline_esm2,5,C6EVG7,pep,13,10-14,Heloderma,False,0
baseline_esm2,5,C6EVG7,pep,10,10-14,Heloderma,False,0
baseline_esm2,5,C6EVG7,pep,32,30-34,Heloderma,False,0
baseline_esm2,5,C6EVG7,propep,33,30-34,Heloderma,False,0
baseline_esm2,5,C6EVG7,propep,5,5-9,Heloderma,False,0
baseline_esm2,5,C6EVG7,propep,5,5-9,Heloderma,False,0
baseline_esm2,5,C6EVG7,propep,10,10-14,Heloderma,False,0
baseline_esm2,5,C6EVG7,propep,24,20-24,Heloderma,False,0
baseline_esm2,5,C6Y4B5,propep,27,25-29,Schizosaccharomyces,False,0
baseline_esm2,5,D0PX84,propep,6,5-9,Conus,False,1
baseline_esm2,5,D0PX85,propep,6,5-9,Conus,False,1
baseline_esm2,5,D2Y1X9,pep,33,30-34,Cyriopagopus,False,1
baseline_esm2,5,D2Y1X9,propep,27,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y1Y0,pep,33,30-34,Cyriopagopus,False,1
baseline_esm2,5,D2Y1Y0,propep,27,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y1Y1,pep,33,30-34,Cyriopagopus,False,1
baseline_esm2,5,D2Y1Y1,propep,27,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y1Y2,pep,33,30-34,Cyriopagopus,False,1
baseline_esm2,5,D2Y1Y2,propep,27,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y1Y3,pep,33,30-34,Cyriopagopus,False,1
baseline_esm2,5,D2Y1Y3,propep,27,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y1Y4,pep,33,30-34,Cyriopagopus,False,1
baseline_esm2,5,D2Y1Y4,propep,27,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y1Y5,pep,33,30-34,Cyriopagopus,False,1
baseline_esm2,5,D2Y1Y5,propep,27,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y1Y6,pep,33,30-34,Cyriopagopus,False,1
baseline_esm2,5,D2Y1Y6,propep,27,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y1Y7,pep,33,30-34,Cyriopagopus,False,1
baseline_esm2,5,D2Y1Y7,propep,27,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y1Y8,pep,33,30-34,Cyriopagopus,False,1
baseline_esm2,5,D2Y1Y8,propep,27,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y1Y9,pep,33,30-34,Cyriopagopus,False,1
baseline_esm2,5,D2Y1Y9,propep,27,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y1Z0,pep,33,30-34,Cyriopagopus,False,0
baseline_esm2,5,D2Y1Z0,propep,27,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y1Z2,pep,32,30-34,Cyriopagopus,False,1
baseline_esm2,5,D2Y1Z2,propep,27,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y1Z4,pep,33,30-34,Cyriopagopus,False,1
baseline_esm2,5,D2Y1Z4,propep,27,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y1Z5,pep,33,30-34,Cyriopagopus,False,1
baseline_esm2,5,D2Y1Z5,propep,27,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y1Z6,pep,33,30-34,Cyriopagopus,False,1
baseline_esm2,5,D2Y1Z6,propep,27,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y1Z7,pep,33,30-34,Cyriopagopus,False,1
baseline_esm2,5,D2Y1Z7,propep,27,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y1Z8,pep,33,30-34,Cyriopagopus,False,1
baseline_esm2,5,D2Y1Z8,propep,27,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y1Z9,pep,33,30-34,Cyriopagopus,False,1
baseline_esm2,5,D2Y1Z9,propep,27,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y200,pep,33,30-34,Cyriopagopus,False,1
baseline_esm2,5,D2Y200,propep,27,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y201,pep,33,30-34,Cyriopagopus,False,1
baseline_esm2,5,D2Y201,propep,27,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y202,pep,33,30-34,Cyriopagopus,False,1
baseline_esm2,5,D2Y202,propep,27,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y203,pep,33,30-34,Cyriopagopus,False,1
baseline_esm2,5,D2Y203,propep,27,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y232,pep,35,35-39,Cyriopagopus,False,1
baseline_esm2,5,D2Y232,propep,28,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y233,pep,35,35-39,Cyriopagopus,False,1
baseline_esm2,5,D2Y233,propep,28,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y236,pep,36,35-39,Cyriopagopus,False,0
baseline_esm2,5,D2Y236,propep,29,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y237,pep,36,35-39,Cyriopagopus,False,1
baseline_esm2,5,D2Y237,propep,29,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y238,pep,36,35-39,Cyriopagopus,False,1
baseline_esm2,5,D2Y238,propep,29,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y239,pep,36,35-39,Cyriopagopus,False,1
baseline_esm2,5,D2Y239,propep,29,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y240,pep,35,35-39,Cyriopagopus,False,1
baseline_esm2,5,D2Y240,propep,28,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y241,pep,35,35-39,Cyriopagopus,False,1
baseline_esm2,5,D2Y241,propep,28,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y242,pep,35,35-39,Cyriopagopus,False,1
baseline_esm2,5,D2Y242,propep,28,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y243,pep,35,35-39,Cyriopagopus,False,1
baseline_esm2,5,D2Y243,propep,28,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y244,pep,35,35-39,Cyriopagopus,False,1
baseline_esm2,5,D2Y244,propep,28,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y245,pep,35,35-39,Cyriopagopus,True,1
baseline_esm2,5,D2Y245,propep,28,25-29,Cyriopagopus,True,1
baseline_esm2,5,D2Y246,pep,35,35-39,Cyriopagopus,False,1
baseline_esm2,5,D2Y246,propep,28,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y247,pep,35,35-39,Cyriopagopus,False,1
baseline_esm2,5,D2Y247,propep,28,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y248,pep,35,35-39,Cyriopagopus,False,1
baseline_esm2,5,D2Y248,propep,28,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y249,pep,35,35-39,Cyriopagopus,False,1
baseline_esm2,5,D2Y249,propep,28,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y250,pep,35,35-39,Cyriopagopus,False,1
baseline_esm2,5,D2Y250,propep,28,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y251,propep,28,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y252,propep,28,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y2A0,pep,40,40-44,Cyriopagopus,False,0
baseline_esm2,5,D2Y2A0,propep,31,30-34,Cyriopagopus,False,1
baseline_esm2,5,D2Y2A1,pep,40,40-44,Cyriopagopus,False,0
baseline_esm2,5,D2Y2A1,propep,31,30-34,Cyriopagopus,False,1
baseline_esm2,5,D2Y2A2,pep,40,40-44,Cyriopagopus,False,0
baseline_esm2,5,D2Y2A2,propep,24,20-24,Cyriopagopus,False,0
baseline_esm2,5,D2Y2A3,pep,40,40-44,Cyriopagopus,False,0
baseline_esm2,5,D2Y2A3,propep,31,30-34,Cyriopagopus,False,1
baseline_esm2,5,D2Y2A4,pep,40,40-44,Cyriopagopus,False,0
baseline_esm2,5,D2Y2A4,propep,31,30-34,Cyriopagopus,False,1
baseline_esm2,5,D2Y2A5,pep,40,40-44,Cyriopagopus,False,0
baseline_esm2,5,D2Y2A5,propep,31,30-34,Cyriopagopus,False,1
baseline_esm2,5,D2Y2A6,pep,40,40-44,Cyriopagopus,False,0
baseline_esm2,5,D2Y2A6,propep,31,30-34,Cyriopagopus,False,1
baseline_esm2,5,D2Y2A7,pep,40,40-44,Cyriopagopus,False,0
baseline_esm2,5,D2Y2A7,propep,31,30-34,Cyriopagopus,False,1
baseline_esm2,5,D2Y2A8,pep,40,40-44,Cyriopagopus,False,0
baseline_esm2,5,D2Y2A8,propep,31,30-34,Cyriopagopus,False,1
baseline_esm2,5,D2Y2A9,pep,40,40-44,Cyriopagopus,False,0
baseline_esm2,5,D2Y2A9,propep,31,30-34,Cyriopagopus,False,1
baseline_esm2,5,D2Y2B0,pep,40,40-44,Cyriopagopus,False,0
baseline_esm2,5,D2Y2B0,propep,31,30-34,Cyriopagopus,False,1
baseline_esm2,5,D2Y2B1,pep,40,40-44,Cyriopagopus,False,0
baseline_esm2,5,D2Y2B1,propep,31,30-34,Cyriopagopus,False,1
baseline_esm2,5,D2Y2B2,pep,40,40-44,Cyriopagopus,False,0
baseline_esm2,5,D2Y2B2,propep,31,30-34,Cyriopagopus,False,1
baseline_esm2,5,D2Y2B3,pep,40,40-44,Cyriopagopus,False,0
baseline_esm2,5,D2Y2B3,propep,31,30-34,Cyriopagopus,False,1
baseline_esm2,5,D2Y2B4,pep,40,40-44,Cyriopagopus,False,0
baseline_esm2,5,D2Y2B4,propep,31,30-34,Cyriopagopus,False,1
baseline_esm2,5,D2Y2B5,pep,40,40-44,Cyriopagopus,False,0
baseline_esm2,5,D2Y2B5,propep,31,30-34,Cyriopagopus,False,1
baseline_esm2,5,D2Y2B6,propep,36,35-39,Cyriopagopus,False,1
baseline_esm2,5,D2Y2B7,propep,36,35-39,Cyriopagopus,False,1
baseline_esm2,5,D2Y2B8,propep,36,35-39,Cyriopagopus,False,1
baseline_esm2,5,D2Y2B9,propep,36,35-39,Cyriopagopus,False,1
baseline_esm2,5,D2Y2C1,pep,36,35-39,Cyriopagopus,False,0
baseline_esm2,5,D2Y2C1,propep,28,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y2D2,pep,33,30-34,Cyriopagopus,False,1
baseline_esm2,5,D2Y2D2,propep,27,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y2D7,pep,35,35-39,Cyriopagopus,False,1
baseline_esm2,5,D2Y2D7,propep,28,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y2D8,propep,36,35-39,Cyriopagopus,False,1
baseline_esm2,5,D2Y2D9,propep,36,35-39,Cyriopagopus,False,1
baseline_esm2,5,D2Y2E8,pep,36,35-39,Cyriopagopus,False,1
baseline_esm2,5,D2Y2E8,propep,29,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y2E9,pep,36,35-39,Cyriopagopus,False,0
baseline_esm2,5,D2Y2E9,propep,29,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y2F0,pep,36,35-39,Cyriopagopus,False,1
baseline_esm2,5,D2Y2F0,propep,29,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y2F1,pep,36,35-39,Cyriopagopus,False,1
baseline_esm2,5,D2Y2F1,propep,29,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y2G3,pep,35,35-39,Cyriopagopus,False,1
baseline_esm2,5,D2Y2G3,propep,28,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y2G4,pep,35,35-39,Cyriopagopus,False,1
baseline_esm2,5,D2Y2G4,propep,28,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y2G5,pep,35,35-39,Cyriopagopus,False,1
baseline_esm2,5,D2Y2G5,propep,28,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y2G6,pep,35,35-39,Cyriopagopus,False,1
baseline_esm2,5,D2Y2G6,propep,28,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y2G7,pep,35,35-39,Cyriopagopus,False,1
baseline_esm2,5,D2Y2G7,propep,28,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y2G8,pep,35,35-39,Cyriopagopus,False,0
baseline_esm2,5,D2Y2G8,propep,28,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y2G9,pep,35,35-39,Cyriopagopus,False,1
baseline_esm2,5,D2Y2G9,propep,28,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y2H1,propep,28,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y2H2,propep,28,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y2H3,pep,40,40-44,Cyriopagopus,False,0
baseline_esm2,5,D2Y2H3,propep,31,30-34,Cyriopagopus,False,1
baseline_esm2,5,D2Y2H4,pep,40,40-44,Cyriopagopus,False,0
baseline_esm2,5,D2Y2H4,propep,31,30-34,Cyriopagopus,False,1
baseline_esm2,5,D2Y2H5,pep,40,40-44,Cyriopagopus,False,0
baseline_esm2,5,D2Y2H5,propep,31,30-34,Cyriopagopus,False,1
baseline_esm2,5,D2Y2H6,pep,36,35-39,Cyriopagopus,False,0
baseline_esm2,5,D2Y2H6,propep,28,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y2H7,pep,36,35-39,Cyriopagopus,False,0
baseline_esm2,5,D2Y2H7,propep,28,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y2H8,pep,36,35-39,Cyriopagopus,False,0
baseline_esm2,5,D2Y2H8,propep,28,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y2I3,pep,33,30-34,Cyriopagopus,False,1
baseline_esm2,5,D2Y2I3,propep,27,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y2I5,pep,33,30-34,Cyriopagopus,False,1
baseline_esm2,5,D2Y2I5,propep,27,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y2I6,pep,33,30-34,Cyriopagopus,False,1
baseline_esm2,5,D2Y2I6,propep,27,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y2L5,pep,36,35-39,Cyriopagopus,False,1
baseline_esm2,5,D2Y2L5,propep,29,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y2M0,pep,35,35-39,Cyriopagopus,False,1
baseline_esm2,5,D2Y2M0,propep,28,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y2M1,pep,35,35-39,Cyriopagopus,False,1
baseline_esm2,5,D2Y2M1,propep,28,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y2M2,pep,35,35-39,Cyriopagopus,False,1
baseline_esm2,5,D2Y2M2,propep,28,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y2M3,pep,35,35-39,Cyriopagopus,False,1
baseline_esm2,5,D2Y2M3,propep,28,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y2M4,pep,35,35-39,Cyriopagopus,False,1
baseline_esm2,5,D2Y2M4,propep,28,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y2M5,pep,35,35-39,Cyriopagopus,False,1
baseline_esm2,5,D2Y2M5,propep,28,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y2M6,pep,35,35-39,Cyriopagopus,False,1
baseline_esm2,5,D2Y2M6,propep,28,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y2M8,pep,35,35-39,Cyriopagopus,False,1
baseline_esm2,5,D2Y2M8,propep,28,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y2M9,pep,35,35-39,Cyriopagopus,False,1
baseline_esm2,5,D2Y2M9,propep,28,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y2N0,pep,35,35-39,Cyriopagopus,False,1
baseline_esm2,5,D2Y2N0,propep,28,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y2N1,pep,35,35-39,Cyriopagopus,False,1
baseline_esm2,5,D2Y2N1,propep,28,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y2N2,pep,35,35-39,Cyriopagopus,False,1
baseline_esm2,5,D2Y2N2,propep,28,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y2N3,pep,35,35-39,Cyriopagopus,False,1
baseline_esm2,5,D2Y2N3,propep,28,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y2N4,pep,35,35-39,Cyriopagopus,False,1
baseline_esm2,5,D2Y2N4,propep,28,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y2N5,pep,35,35-39,Cyriopagopus,False,1
baseline_esm2,5,D2Y2N5,propep,28,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y2N6,pep,35,35-39,Cyriopagopus,False,1
baseline_esm2,5,D2Y2N6,propep,28,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y2N7,pep,35,35-39,Cyriopagopus,False,1
baseline_esm2,5,D2Y2N7,propep,28,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y2N9,propep,28,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y2P0,propep,28,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y2P1,propep,28,25-29,Cyriopagopus,False,1
baseline_esm2,5,D2Y2P2,propep,28,25-29,Cyriopagopus,False,1
baseline_esm2,5,D3ZTT2,propep,24,20-24,Rattus,True,1
baseline_esm2,5,D4B388,propep,24,20-24,Arthroderma,False,1
baseline_esm2,5,D5J9S0,pep,46,45-50,Bungarus,False,0
baseline_esm2,5,D5J9S0,propep,19,15-19,Bungarus,False,0
baseline_esm2,5,D5KXH3,propep,9,5-9,Gemmula,False,0
baseline_esm2,5,D9IX97,propep,37,35-39,Naja,False,0
baseline_esm2,5,E2A3M7,pep,10,10-14,Camponotus,False,1
baseline_esm2,5,E2E4L2,propep,32,30-34,Varanus,False,1
baseline_esm2,5,E2S064,pep,35,35-39,Cryptodendrum,False,0
baseline_esm2,5,E2S064,propep,18,15-19,Cryptodendrum,False,1
baseline_esm2,5,E5KIB6,pep,22,20-24,Streptomyces,False,0
baseline_esm2,5,E5KIB6,propep,42,40-44,Streptomyces,False,0
baseline_esm2,5,F1N5C8,propep,24,20-24,Bos,False,1
baseline_esm2,5,F1R4U0,propep,20,20-24,Danio,True,1
baseline_esm2,5,F4IVN9,propep,25,25-29,Arabidopsis,True,1
baseline_esm2,5,F4JL85,propep,20,20-24,Arabidopsis,True,1
baseline_esm2,5,F4K6R7,propep,29,25-29,Arabidopsis,True,0
