model,fold,protein,task,tp,fn,fp
esmc_600m,2,Q1W695,propep,1,0,0
esmc_600m,2,Q1XDH0,pep,0,0,0
esmc_600m,2,Q1XDH0,propep,1,0,0
esmc_600m,2,Q20EY3,pep,0,0,0
esmc_600m,2,Q20EY3,propep,1,0,0
esmc_600m,2,Q24049,pep,0,2,0
esmc_600m,2,Q24049,propep,0,1,0
esmc_600m,2,Q27441,pep,1,1,0
esmc_600m,2,Q27441,propep,0,0,1
esmc_600m,2,Q27J48,pep,0,0,0
esmc_600m,2,Q27J48,propep,0,1,0
esmc_600m,2,Q27Q54,pep,0,0,0
esmc_600m,2,Q27Q54,propep,0,1,0
esmc_600m,2,Q28106,pep,0,0,0
esmc_600m,2,Q28106,propep,0,1,2
esmc_600m,2,Q28198,pep,0,0,0
esmc_600m,2,Q28198,propep,1,0,0
esmc_600m,2,Q28278,pep,0,1,0
esmc_600m,2,Q28278,propep,1,0,1
esmc_600m,2,Q28315,pep,0,1,0
esmc_600m,2,Q28315,propep,1,0,1
esmc_600m,2,Q28380,pep,0,1,0
esmc_600m,2,Q28380,propep,1,0,1
esmc_600m,2,Q28661,pep,0,1,0
esmc_600m,2,Q28661,propep,0,1,2
esmc_600m,2,Q28896,pep,0,1,0
esmc_600m,2,Q28896,propep,0,1,1
esmc_600m,2,Q2EI26,pep,0,0,0
esmc_600m,2,Q2EI26,propep,0,1,0
esmc_600m,2,Q2F9P2,pep,0,0,0
esmc_600m,2,Q2F9P2,propep,1,0,0
esmc_600m,2,Q2F9P4,pep,0,0,0
esmc_600m,2,Q2F9P4,propep,1,0,1
esmc_600m,2,Q2I2R6,pep,1,0,0
esmc_600m,2,Q2I2R6,propep,1,0,0
esmc_600m,2,Q2I2R7,pep,1,0,0
esmc_600m,2,Q2I2R7,propep,1,0,0
esmc_600m,2,Q2I2R8,pep,0,1,1
esmc_600m,2,Q2I2R8,propep,1,0,0
esmc_600m,2,Q2L8Z0,pep,0,0,0
esmc_600m,2,Q2L8Z0,propep,0,1,0
esmc_600m,2,Q2MIB7,pep,0,0,0
esmc_600m,2,Q2MIB7,propep,0,1,0
esmc_600m,2,Q2MIK4,pep,0,0,0
esmc_600m,2,Q2MIK4,propep,0,1,0
esmc_600m,2,Q2PFV2,pep,0,0,0
esmc_600m,2,Q2PFV2,propep,0,2,1
esmc_600m,2,Q2PMS6,pep,0,0,0
esmc_600m,2,Q2PMS6,propep,0,1,0
esmc_600m,2,Q2RQ23,pep,0,0,0
esmc_600m,2,Q2RQ23,propep,1,0,1
esmc_600m,2,Q2V2G5,pep,0,1,0
esmc_600m,2,Q2V2G5,propep,0,1,0
esmc_600m,2,Q2VEJ3,pep,0,0,0
esmc_600m,2,Q2VEJ3,propep,0,1,0
esmc_600m,2,Q2XQ09,pep,0,0,0
esmc_600m,2,Q2XQ09,propep,1,0,0
esmc_600m,2,Q31CR0,pep,0,0,0
esmc_600m,2,Q31CR0,propep,0,1,1
esmc_600m,2,Q32LD3,pep,0,0,0
esmc_600m,2,Q32LD3,propep,0,1,1
esmc_600m,2,Q32RP3,pep,0,0,0
esmc_600m,2,Q32RP3,propep,0,1,0
esmc_600m,2,Q32RW6,pep,0,0,0
esmc_600m,2,Q32RW6,propep,0,1,0
esmc_600m,2,Q33C56,pep,0,0,0
esmc_600m,2,Q33C56,propep,0,1,0
esmc_600m,2,Q3BAQ9,pep,0,0,0
esmc_600m,2,Q3BAQ9,propep,0,1,0
esmc_600m,2,Q3C1G0,pep,0,0,0
esmc_600m,2,Q3C1G0,propep,0,1,0
esmc_600m,2,Q3E880,pep,0,1,1
esmc_600m,2,Q3E880,propep,0,0,0
esmc_600m,2,Q3ECM0,pep,0,2,1
esmc_600m,2,Q3ECM0,propep,0,2,0
esmc_600m,2,Q3M4K0,pep,0,0,0
esmc_600m,2,Q3M4K0,propep,1,0,0
esmc_600m,2,Q3T0P5,pep,0,0,0
esmc_600m,2,Q3T0P5,propep,1,1,0
esmc_600m,2,Q3YEE9,pep,1,0,0
esmc_600m,2,Q3YEE9,propep,1,0,0
esmc_600m,2,Q3YEG9,pep,1,0,0
esmc_600m,2,Q3YEG9,propep,1,0,0
esmc_600m,2,Q3YEH0,pep,1,0,0
esmc_600m,2,Q3YEH0,propep,0,1,1
esmc_600m,2,Q3YEH1,pep,1,0,0
esmc_600m,2,Q3YEH1,propep,1,0,0
esmc_600m,2,Q3YEH2,pep,1,0,0
esmc_600m,2,Q3YEH2,propep,1,0,0
esmc_600m,2,Q3YEH4,pep,1,0,0
esmc_600m,2,Q3YEH4,propep,1,0,0
esmc_600m,2,Q3YEH5,pep,1,0,0
esmc_600m,2,Q3YEH5,propep,1,0,0
esmc_600m,2,Q3YEH6,pep,1,0,0
esmc_600m,2,Q3YEH6,propep,0,1,1
esmc_600m,2,Q3YEH7,pep,1,0,0
esmc_600m,2,Q3YEH7,propep,1,0,0
esmc_600m,2,Q3ZD69,pep,0,0,0
esmc_600m,2,Q3ZD69,propep,0,1,0
esmc_600m,2,Q3ZJ18,pep,0,0,0
esmc_600m,2,Q3ZJ18,propep,1,0,0
esmc_600m,2,Q41142,pep,0,0,0
esmc_600m,2,Q41142,propep,0,1,0
esmc_600m,2,Q43007,pep,0,0,0
esmc_600m,2,Q43007,propep,0,1,0
esmc_600m,2,Q46HA2,pep,0,0,0
esmc_600m,2,Q46HA2,propep,0,1,1
esmc_600m,2,Q49L15,pep,0,0,0
esmc_600m,2,Q49L15,propep,0,1,0
esmc_600m,2,Q4G3C7,pep,0,0,0
esmc_600m,2,Q4G3C7,propep,1,0,0
esmc_600m,2,Q4GWU5,pep,1,0,0
esmc_600m,2,Q4GWU5,propep,1,0,0
esmc_600m,2,Q4QXT9,pep,0,0,0
esmc_600m,2,Q4QXT9,propep,1,0,1
esmc_600m,2,Q4V3D2,pep,0,0,0
esmc_600m,2,Q4V3D2,propep,1,0,0
esmc_600m,2,Q4VZQ0,pep,0,0,0
esmc_600m,2,Q4VZQ0,propep,0,1,0
esmc_600m,2,Q4ZFU1,pep,0,0,0
esmc_600m,2,Q4ZFU1,propep,0,1,0
esmc_600m,2,Q4ZFU2,pep,0,0,0
esmc_600m,2,Q4ZFU2,propep,0,1,0
esmc_600m,2,Q51822,pep,0,0,0
esmc_600m,2,Q51822,propep,1,0,0
esmc_600m,2,Q51825,pep,0,0,0
esmc_600m,2,Q51825,propep,1,0,0
esmc_600m,2,Q51826,pep,0,0,0
esmc_600m,2,Q51826,propep,1,0,0
esmc_600m,2,Q51827,pep,0,0,0
esmc_600m,2,Q51827,propep,1,0,0
esmc_600m,2,Q54LM2,pep,0,0,0
esmc_600m,2,Q54LM2,propep,1,0,0
esmc_600m,2,Q56P17,pep,0,0,0
esmc_600m,2,Q56P17,propep,0,1,0
esmc_600m,2,Q56VR3,pep,0,0,0
esmc_600m,2,Q56VR3,propep,1,1,1
esmc_600m,2,Q589B1,pep,0,0,0
esmc_600m,2,Q589B1,propep,0,1,0
esmc_600m,2,Q58L93,pep,0,0,0
esmc_600m,2,Q58L93,propep,1,1,1
esmc_600m,2,Q58L94,pep,0,0,0
esmc_600m,2,Q58L94,propep,1,1,1
esmc_600m,2,Q58L95,pep,0,0,0
esmc_600m,2,Q58L95,propep,1,1,1
esmc_600m,2,Q58L96,pep,0,0,0
esmc_600m,2,Q58L96,propep,1,1,1
esmc_600m,2,Q59L96,pep,0,0,0
esmc_600m,2,Q59L96,propep,1,0,0
esmc_600m,2,Q59SG9,pep,0,0,0
esmc_600m,2,Q59SG9,propep,1,0,0
esmc_600m,2,Q59UP6,pep,0,0,0
esmc_600m,2,Q59UP6,propep,1,0,0
esmc_600m,2,Q59UT4,pep,0,0,0
esmc_600m,2,Q59UT4,propep,1,0,0
esmc_600m,2,Q59UT5,pep,0,0,0
esmc_600m,2,Q59UT5,propep,1,0,1
esmc_600m,2,Q59VW6,pep,0,0,0
esmc_600m,2,Q59VW6,propep,0,1,1
esmc_600m,2,Q5A1A9,pep,0,0,0
esmc_600m,2,Q5A1A9,propep,1,0,0
esmc_600m,2,Q5AA33,pep,0,0,0
esmc_600m,2,Q5AA33,propep,0,1,1
esmc_600m,2,Q5ABW2,pep,0,0,0
esmc_600m,2,Q5ABW2,propep,1,0,0
esmc_600m,2,Q5AFN8,pep,0,0,0
esmc_600m,2,Q5AFN8,propep,1,0,0
esmc_600m,2,Q5AGC4,pep,0,0,0
esmc_600m,2,Q5AGC4,propep,1,0,0
esmc_600m,2,Q5AHE8,pep,0,0,0
esmc_600m,2,Q5AHE8,propep,1,0,0
esmc_600m,2,Q5AJY5,pep,0,0,0
esmc_600m,2,Q5AJY5,propep,1,0,0
esmc_600m,2,Q5AK97,pep,0,0,0
esmc_600m,2,Q5AK97,propep,1,0,0
esmc_600m,2,Q5AMF7,pep,0,0,0
esmc_600m,2,Q5AMF7,propep,1,0,1
esmc_600m,2,Q5CZK2,pep,2,0,0
esmc_600m,2,Q5CZK2,propep,0,0,0
esmc_600m,2,Q5CZK5,pep,2,0,0
esmc_600m,2,Q5CZK5,propep,0,0,0
esmc_600m,2,Q5DW47,pep,1,1,1
esmc_600m,2,Q5DW47,propep,0,1,0
esmc_600m,2,Q5F1N4,pep,0,0,0
esmc_600m,2,Q5F1N4,propep,0,1,0
esmc_600m,2,Q5G8A6,pep,0,1,1
esmc_600m,2,Q5G8A6,propep,0,0,1
esmc_600m,2,Q5I4E5,pep,0,0,1
esmc_600m,2,Q5I4E5,propep,1,0,0
esmc_600m,2,Q5I4E6,pep,0,1,0
esmc_600m,2,Q5I4E6,propep,0,1,0
esmc_600m,2,Q5IS54,pep,0,0,0
esmc_600m,2,Q5IS54,propep,0,2,1
esmc_600m,2,Q5IS99,pep,0,0,0
esmc_600m,2,Q5IS99,propep,0,2,1
esmc_600m,2,Q5R790,pep,0,1,0
esmc_600m,2,Q5R790,propep,0,0,0
esmc_600m,2,Q5R8J0,pep,0,0,0
esmc_600m,2,Q5R8J0,propep,1,0,0
esmc_600m,2,Q5SC59,pep,1,0,0
esmc_600m,2,Q5SC59,propep,0,0,0
esmc_600m,2,Q5SC60,pep,0,1,0
esmc_600m,2,Q5SC60,propep,0,0,0
esmc_600m,2,Q5SCX1,pep,0,0,0
esmc_600m,2,Q5SCX1,propep,0,1,0
esmc_600m,2,Q5XUW8,pep,0,0,0
esmc_600m,2,Q5XUW8,propep,0,1,0
esmc_600m,2,Q5Y4U4,pep,0,0,0
esmc_600m,2,Q5Y4U4,propep,1,0,0
esmc_600m,2,Q60136,pep,0,0,0
esmc_600m,2,Q60136,propep,0,1,1
esmc_600m,2,Q60431,pep,0,0,0
esmc_600m,2,Q60431,propep,0,2,1
esmc_600m,2,Q61330,pep,0,0,0
esmc_600m,2,Q61330,propep,1,0,0
esmc_600m,2,Q624D2,pep,0,0,0
esmc_600m,2,Q624D2,propep,1,0,0
esmc_600m,2,Q62682,pep,0,0,0
esmc_600m,2,Q62682,propep,1,0,0
esmc_600m,2,Q62845,pep,0,0,0
esmc_600m,2,Q62845,propep,1,0,0
esmc_600m,2,Q63064,pep,0,1,0
esmc_600m,2,Q63064,propep,1,0,0
esmc_600m,2,Q63198,pep,0,0,0
esmc_600m,2,Q63198,propep,0,1,2
esmc_600m,2,Q63207,pep,0,0,0
esmc_600m,2,Q63207,propep,1,1,1
esmc_600m,2,Q634M0,pep,0,0,0
esmc_600m,2,Q634M0,propep,1,0,0
esmc_600m,2,Q64389,pep,0,1,0
esmc_600m,2,Q64389,propep,1,0,0
esmc_600m,2,Q65H47,pep,0,0,0
esmc_600m,2,Q65H47,propep,1,0,0
esmc_600m,2,Q68IP5,pep,1,0,0
esmc_600m,2,Q68IP5,propep,0,1,1
esmc_600m,2,Q68LC0,pep,0,0,3
esmc_600m,2,Q68LC0,propep,0,1,0
esmc_600m,2,Q68S23,pep,0,0,0
esmc_600m,2,Q68S23,propep,0,1,0
esmc_600m,2,Q68Y22,pep,0,1,1
esmc_600m,2,Q68Y22,propep,0,1,2
esmc_600m,2,Q698K8,pep,0,0,0
esmc_600m,2,Q698K8,propep,0,1,1
esmc_600m,2,Q69Z26,pep,0,0,0
esmc_600m,2,Q69Z26,propep,1,0,0
esmc_600m,2,Q6B8V0,pep,0,0,0
esmc_600m,2,Q6B8V0,propep,1,0,0
esmc_600m,2,Q6ENJ4,pep,0,0,0
esmc_600m,2,Q6ENJ4,propep,0,1,0
esmc_600m,2,Q6ENY5,pep,0,0,0
esmc_600m,2,Q6ENY5,propep,0,1,0
esmc_600m,2,Q6EW65,pep,0,0,0
esmc_600m,2,Q6EW65,propep,0,1,0
esmc_600m,2,Q6GUL6,pep,0,0,3
esmc_600m,2,Q6GUL6,propep,0,1,0
esmc_600m,2,Q6HDK0,pep,0,0,0
esmc_600m,2,Q6HDK0,propep,1,0,0
esmc_600m,2,Q6IVA5,pep,0,0,3
esmc_600m,2,Q6IVA5,propep,0,1,0
esmc_600m,2,Q6IWB1,pep,1,0,0
esmc_600m,2,Q6IWB1,propep,0,0,0
esmc_600m,2,Q6JLX1,pep,0,0,3
esmc_600m,2,Q6JLX1,propep,0,1,0
esmc_600m,2,Q6JQN2,pep,1,0,0
esmc_600m,2,Q6JQN2,propep,1,0,0
esmc_600m,2,Q6L3B3,pep,0,0,0
esmc_600m,2,Q6L3B3,propep,0,1,0
esmc_600m,2,Q6M0N7,pep,0,0,0
esmc_600m,2,Q6M0N7,propep,1,0,0
esmc_600m,2,Q6NKW9,pep,0,0,0
esmc_600m,2,Q6NKW9,propep,1,0,0
esmc_600m,2,Q6PN80,pep,0,1,1
esmc_600m,2,Q6PN80,propep,0,1,1
esmc_600m,2,Q6PN81,pep,1,0,0
esmc_600m,2,Q6PN81,propep,1,0,0
esmc_600m,2,Q6PN82,pep,1,0,0
esmc_600m,2,Q6PN82,propep,1,0,0
esmc_600m,2,Q6PN83,pep,1,0,0
esmc_600m,2,Q6PN83,propep,1,0,0
esmc_600m,2,Q6PN84,pep,1,0,0
esmc_600m,2,Q6PN84,propep,1,0,0
esmc_600m,2,Q6PN85,pep,1,0,0
esmc_600m,2,Q6PN85,propep,0,1,1
esmc_600m,2,Q6PN86,pep,1,0,0
esmc_600m,2,Q6PN86,propep,1,0,0
esmc_600m,2,Q6PPB3,pep,1,0,0
esmc_600m,2,Q6PPB3,propep,1,0,0
esmc_600m,2,Q6PTD1,pep,1,0,0
esmc_600m,2,Q6PTD1,propep,0,1,1
esmc_600m,2,Q6PTD4,pep,1,0,0
esmc_600m,2,Q6PTD4,propep,0,1,1
esmc_600m,2,Q6PTD5,pep,1,0,0
esmc_600m,2,Q6PTD5,propep,1,0,0
esmc_600m,2,Q6PTD6,pep,1,0,0
esmc_600m,2,Q6PTD6,propep,1,0,0
esmc_600m,2,Q6PTD7,pep,1,0,0
esmc_600m,2,Q6PTD7,propep,1,0,0
esmc_600m,2,Q6RY98,pep,0,7,1
esmc_600m,2,Q6RY98,propep,0,8,2
esmc_600m,2,Q6SA95,pep,0,0,0
esmc_600m,2,Q6SA95,propep,1,1,1
esmc_600m,2,Q6T271,pep,0,0,0
esmc_600m,2,Q6T271,propep,0,1,0
esmc_600m,2,Q6UWN0,pep,0,0,0
esmc_600m,2,Q6UWN0,propep,1,0,0
esmc_600m,2,Q6YXN4,pep,0,0,0
esmc_600m,2,Q6YXN4,propep,0,1,0
esmc_600m,2,Q70XC3,pep,0,1,2
esmc_600m,2,Q70XC3,propep,0,1,1
esmc_600m,2,Q70Y14,pep,0,0,0
esmc_600m,2,Q70Y14,propep,0,1,0
esmc_600m,2,Q730L4,pep,0,0,0
esmc_600m,2,Q730L4,propep,1,0,0
esmc_600m,2,Q79AV1,pep,0,0,0
esmc_600m,2,Q79AV1,propep,1,0,0
esmc_600m,2,Q7M6Z0,pep,0,0,0
esmc_600m,2,Q7M6Z0,propep,1,0,0
esmc_600m,2,Q7SZD9,pep,0,0,0
esmc_600m,2,Q7SZD9,propep,0,1,0
esmc_600m,2,Q7SZE0,pep,0,0,0
esmc_600m,2,Q7SZE0,propep,0,1,0
esmc_600m,2,Q7U9L1,pep,0,0,0
esmc_600m,2,Q7U9L1,propep,0,1,1
esmc_600m,2,Q7V323,pep,0,0,0
esmc_600m,2,Q7V323,propep,0,1,1
esmc_600m,2,Q7V4T1,pep,0,0,0
esmc_600m,2,Q7V4T1,propep,0,1,1
esmc_600m,2,Q7VDR4,pep,0,0,0
esmc_600m,2,Q7VDR4,propep,0,1,1
esmc_600m,2,Q7YJY5,pep,0,0,0
esmc_600m,2,Q7YJY5,propep,0,1,1
esmc_600m,2,Q7YZS9,pep,0,0,1
esmc_600m,2,Q7YZS9,propep,1,0,0
esmc_600m,2,Q7Z090,pep,0,0,0
esmc_600m,2,Q7Z090,propep,1,0,0
esmc_600m,2,Q7Z1Y7,pep,0,0,0
esmc_600m,2,Q7Z1Y7,propep,0,1,0
esmc_600m,2,Q7ZW34,pep,0,0,0
esmc_600m,2,Q7ZW34,propep,0,1,1
esmc_600m,2,Q7ZZS9,pep,0,0,0
esmc_600m,2,Q7ZZS9,propep,0,1,0
esmc_600m,2,Q804X6,pep,0,0,0
esmc_600m,2,Q804X6,propep,1,1,1
esmc_600m,2,Q805F4,pep,0,0,0
esmc_600m,2,Q805F4,propep,0,1,0
esmc_600m,2,Q805F6,pep,0,0,0
esmc_600m,2,Q805F6,propep,0,1,0
esmc_600m,2,Q80WD0,pep,0,0,0
esmc_600m,2,Q80WD0,propep,1,0,0
esmc_600m,2,Q80WD1,pep,0,0,0
esmc_600m,2,Q80WD1,propep,0,1,1
esmc_600m,2,Q812G9,pep,0,1,1
esmc_600m,2,Q812G9,propep,0,1,1
esmc_600m,2,Q818E2,pep,0,0,0
esmc_600m,2,Q818E2,propep,1,0,0
esmc_600m,2,Q81LR5,pep,0,0,0
esmc_600m,2,Q81LR5,propep,1,0,0
esmc_600m,2,Q85BB6,pep,0,0,0
esmc_600m,2,Q85BB6,propep,0,1,0
esmc_600m,2,Q85FN7,pep,0,0,0
esmc_600m,2,Q85FN7,propep,0,1,0
esmc_600m,2,Q85FY2,pep,0,0,0
esmc_600m,2,Q85FY2,propep,1,0,0
esmc_600m,2,Q85X72,pep,0,0,0
esmc_600m,2,Q85X72,propep,0,1,0
esmc_600m,2,Q86N75,pep,1,0,1
esmc_600m,2,Q86N75,propep,0,0,0
esmc_600m,2,Q86RB2,pep,0,1,1
esmc_600m,2,Q86RB2,propep,0,0,0
esmc_600m,2,Q86UN2,pep,0,0,0
esmc_600m,2,Q86UN2,propep,1,0,0
esmc_600m,2,Q86UN3,pep,0,0,0
esmc_600m,2,Q86UN3,propep,0,1,1
esmc_600m,2,Q877A8,pep,0,0,0
esmc_600m,2,Q877A8,propep,0,1,0
esmc_600m,2,Q8AXZ4,pep,0,0,0
esmc_600m,2,Q8AXZ4,propep,1,0,0
esmc_600m,2,Q8BFS3,pep,2,0,0
esmc_600m,2,Q8BFS3,propep,0,0,0
esmc_600m,2,Q8BG41,pep,0,0,0
esmc_600m,2,Q8BG41,propep,1,0,0
esmc_600m,2,Q8BVP6,pep,0,0,0
esmc_600m,2,Q8BVP6,propep,1,0,0
esmc_600m,2,Q8CHK2,pep,2,0,0
esmc_600m,2,Q8CHK2,propep,0,0,0
esmc_600m,2,Q8CJY7,pep,0,0,0
esmc_600m,2,Q8CJY7,propep,0,1,1
esmc_600m,2,Q8CXC9,pep,0,0,0
esmc_600m,2,Q8CXC9,propep,1,0,0
esmc_600m,2,Q8I912,pep,0,0,0
esmc_600m,2,Q8I912,propep,1,0,0
esmc_600m,2,Q8I913,pep,0,0,0
esmc_600m,2,Q8I913,propep,0,1,0
esmc_600m,2,Q8I914,pep,0,0,0
esmc_600m,2,Q8I914,propep,0,1,0
esmc_600m,2,Q8IDN0,pep,0,0,0
esmc_600m,2,Q8IDN0,propep,1,0,0
esmc_600m,2,Q8IS98,pep,0,0,0
esmc_600m,2,Q8IS98,propep,0,1,0
esmc_600m,2,Q8IVL8,pep,0,0,0
esmc_600m,2,Q8IVL8,propep,1,0,1
esmc_600m,2,Q8IWV2,pep,0,0,0
esmc_600m,2,Q8IWV2,propep,1,0,0
esmc_600m,2,Q8JIM3,pep,2,2,1
esmc_600m,2,Q8JIM3,propep,1,1,0
esmc_600m,2,Q8JJ51,pep,0,0,0
esmc_600m,2,Q8JJ51,propep,0,1,0
esmc_600m,2,Q8K0S5,pep,0,0,0
esmc_600m,2,Q8K0S5,propep,1,0,0
esmc_600m,2,Q8K3U6,pep,0,0,0
esmc_600m,2,Q8K3U6,propep,1,0,1
esmc_600m,2,Q8K4P1,pep,1,0,0
esmc_600m,2,Q8K4P1,propep,0,0,0
esmc_600m,2,Q8K4P2,pep,0,1,1
esmc_600m,2,Q8K4P2,propep,0,0,0
esmc_600m,2,Q8LW54,pep,1,0,0
esmc_600m,2,Q8LW54,propep,0,1,1
esmc_600m,2,Q8MA00,pep,0,0,0
esmc_600m,2,Q8MA00,propep,0,1,0
esmc_600m,2,Q8MJC3,pep,0,0,0
esmc_600m,2,Q8MJC3,propep,0,2,0
esmc_600m,2,Q8MJU1,pep,0,0,0
esmc_600m,2,Q8MJU1,propep,0,2,1
esmc_600m,2,Q8MJV4,pep,0,1,1
esmc_600m,2,Q8MJV4,propep,0,0,0
esmc_600m,2,Q8MKI5,pep,0,0,0
esmc_600m,2,Q8MKI5,propep,0,2,1
esmc_600m,2,Q8MMJ7,pep,1,0,0
esmc_600m,2,Q8MMJ7,propep,1,0,0
esmc_600m,2,Q8MTX2,pep,1,0,0
esmc_600m,2,Q8MTX2,propep,1,0,0
esmc_600m,2,Q8N6Q3,pep,0,0,0
esmc_600m,2,Q8N6Q3,propep,1,0,0
esmc_600m,2,Q8NG41,pep,1,0,0
esmc_600m,2,Q8NG41,propep,0,0,0
esmc_600m,2,Q8QG89,pep,0,0,0
esmc_600m,2,Q8QG89,propep,0,1,0
esmc_600m,2,Q8RB77,pep,0,0,0
esmc_600m,2,Q8RB77,propep,0,1,0
esmc_600m,2,Q8S8Y4,pep,0,0,0
esmc_600m,2,Q8S8Y4,propep,0,1,0
esmc_600m,2,Q8SQ23,pep,0,0,0
esmc_600m,2,Q8SQ23,propep,0,1,1
esmc_600m,2,Q8SWI4,pep,0,0,0
esmc_600m,2,Q8SWI4,propep,1,0,0
esmc_600m,2,Q8T9R8,pep,0,1,0
esmc_600m,2,Q8T9R8,propep,0,0,0
esmc_600m,2,Q8UUG0,pep,0,1,1
esmc_600m,2,Q8UUG0,propep,0,1,1
esmc_600m,2,Q8UUG2,pep,0,1,1
esmc_600m,2,Q8UUG2,propep,0,1,1
esmc_600m,2,Q8WI34,pep,0,0,0
esmc_600m,2,Q8WI34,propep,0,1,0
esmc_600m,2,Q8WPU1,pep,0,0,0
esmc_600m,2,Q8WPU1,propep,1,0,0
esmc_600m,2,Q8WXF3,pep,2,0,0
esmc_600m,2,Q8WXF3,propep,0,0,0
esmc_600m,2,Q8XIS3,pep,0,0,0
esmc_600m,2,Q8XIS3,propep,1,0,0
esmc_600m,2,Q8YYG5,pep,0,0,0
esmc_600m,2,Q8YYG5,propep,1,0,0
esmc_600m,2,Q90325,pep,0,0,2
esmc_600m,2,Q90325,propep,0,1,1
esmc_600m,2,Q90326,pep,0,0,2
esmc_600m,2,Q90326,propep,0,1,1
esmc_600m,2,Q90391,pep,0,0,0
esmc_600m,2,Q90391,propep,0,1,0
esmc_600m,2,Q90392,pep,0,0,0
esmc_600m,2,Q90392,propep,0,1,0
esmc_600m,2,Q90VW7,pep,1,0,0
esmc_600m,2,Q90VW7,propep,1,0,0
esmc_600m,2,Q90W79,pep,0,0,0
esmc_600m,2,Q90W79,propep,1,0,0
esmc_600m,2,Q90WC0,pep,0,0,0
esmc_600m,2,Q90WC0,propep,0,1,1
esmc_600m,2,Q90YA6,pep,0,0,0
esmc_600m,2,Q90YA6,propep,0,1,0
esmc_600m,2,Q90ZX8,pep,1,0,0
esmc_600m,2,Q90ZX8,propep,1,0,0
esmc_600m,2,Q90ZY0,pep,1,0,0
esmc_600m,2,Q90ZY0,propep,1,0,0
esmc_600m,2,Q92405,pep,0,0,0
esmc_600m,2,Q92405,propep,0,1,0
esmc_600m,2,Q93R80,pep,0,0,0
esmc_600m,2,Q93R80,propep,1,0,0
esmc_600m,2,Q93V72,pep,0,0,0
esmc_600m,2,Q93V72,propep,1,0,0
esmc_600m,2,Q93Z08,pep,0,0,0
esmc_600m,2,Q93Z08,propep,1,0,0
esmc_600m,2,Q95222,pep,0,0,2
esmc_600m,2,Q95222,propep,0,1,1
esmc_600m,2,Q95ND5,pep,0,0,0
esmc_600m,2,Q95ND5,propep,0,2,1
esmc_600m,2,Q95ND7,pep,0,0,0
esmc_600m,2,Q95ND7,propep,1,1,1
esmc_600m,2,Q96316,pep,0,0,0
esmc_600m,2,Q96316,propep,1,0,0
esmc_600m,2,Q96PL2,pep,0,0,0
esmc_600m,2,Q96PL2,propep,1,0,0
esmc_600m,2,Q97JJ9,pep,0,0,0
esmc_600m,2,Q97JJ9,propep,1,0,0
esmc_600m,2,Q98995,pep,0,0,0
esmc_600m,2,Q98995,propep,0,1,0
esmc_600m,2,Q98SP2,pep,0,0,0
esmc_600m,2,Q98SP2,propep,0,1,0
esmc_600m,2,Q99013,pep,0,0,1
esmc_600m,2,Q99013,propep,0,1,0
esmc_600m,2,Q99219,pep,1,0,0
esmc_600m,2,Q99219,propep,0,0,0
esmc_600m,2,Q99M75,pep,0,0,0
esmc_600m,2,Q99M75,propep,1,0,0
esmc_600m,2,Q99PI8,pep,0,0,0
esmc_600m,2,Q99PI8,propep,1,0,0
esmc_600m,2,Q9AVB0,pep,0,0,0
esmc_600m,2,Q9AVB0,propep,1,1,0
esmc_600m,2,Q9AYP9,pep,0,0,0
esmc_600m,2,Q9AYP9,propep,1,1,0
esmc_600m,2,Q9BBS2,pep,0,0,0
esmc_600m,2,Q9BBS2,propep,0,1,0
esmc_600m,2,Q9BDB7,pep,0,1,0
esmc_600m,2,Q9BDB7,propep,0,0,0
esmc_600m,2,Q9BH21,pep,1,0,0
esmc_600m,2,Q9BH21,propep,1,0,0
esmc_600m,2,Q9BH75,pep,1,0,0
esmc_600m,2,Q9BH75,propep,1,0,0
esmc_600m,2,Q9BH79,pep,0,1,1
esmc_600m,2,Q9BH79,propep,0,1,1
esmc_600m,2,Q9BH81,pep,1,0,0
esmc_600m,2,Q9BH81,propep,1,0,0
esmc_600m,2,Q9BH86,pep,1,0,0
esmc_600m,2,Q9BH86,propep,0,1,1
esmc_600m,2,Q9BHA6,pep,1,0,0
esmc_600m,2,Q9BHA6,propep,1,0,0
esmc_600m,2,Q9BMP8,pep,0,0,0
esmc_600m,2,Q9BMP8,propep,1,0,0
esmc_600m,2,Q9BP43,pep,1,0,0
esmc_600m,2,Q9BP43,propep,0,0,0
esmc_600m,2,Q9BP46,pep,0,1,0
esmc_600m,2,Q9BP46,propep,0,1,1
esmc_600m,2,Q9BP47,pep,0,1,0
esmc_600m,2,Q9BP47,propep,0,0,0
esmc_600m,2,Q9BP51,pep,1,0,0
esmc_600m,2,Q9BP51,propep,1,0,0
esmc_600m,2,Q9BP53,pep,1,0,0
esmc_600m,2,Q9BP53,propep,0,1,1
esmc_600m,2,Q9BP56,pep,1,0,0
esmc_600m,2,Q9BP56,propep,0,1,1
esmc_600m,2,Q9BPD1,pep,1,0,0
esmc_600m,2,Q9BPD1,propep,1,0,0
esmc_600m,2,Q9BPD2,pep,0,1,1
esmc_600m,2,Q9BPD2,propep,0,1,1
esmc_600m,2,Q9BPD3,pep,1,0,0
esmc_600m,2,Q9BPD3,propep,1,0,0
esmc_600m,2,Q9BPD4,pep,1,0,0
esmc_600m,2,Q9BPD4,propep,1,0,0
