model,fold,protein,task,length,m3
adapter256,2,P0DKP4,pep,28,0
adapter256,2,P0DKP4,pep,21,1
adapter256,2,P0DKP6,pep,12,1
adapter256,2,P0DKP6,propep,28,1
adapter256,2,P0DKP8,pep,12,1
adapter256,2,P0DKP8,propep,28,1
adapter256,2,P0DM21,pep,16,1
adapter256,2,P0DM21,propep,23,1
adapter256,2,P0DM23,pep,16,1
adapter256,2,P0DM23,propep,23,1
adapter256,2,P0DM26,pep,20,0
adapter256,2,P0DM26,propep,7,0
adapter256,2,P0DM26,propep,16,0
adapter256,2,P0DME6,pep,13,1
adapter256,2,P0DME6,propep,28,1
adapter256,2,P0DME7,pep,13,1
adapter256,2,P0DME7,propep,28,1
adapter256,2,P0DME8,pep,13,1
adapter256,2,P0DME8,propep,28,1
adapter256,2,P0DME9,pep,13,1
adapter256,2,P0DME9,propep,29,1
adapter256,2,P0DMF1,pep,10,1
adapter256,2,P0DMF4,pep,10,1
adapter256,2,P0DMF4,propep,31,1
adapter256,2,P0DMF5,pep,15,0
adapter256,2,P0DMF5,propep,31,1
adapter256,2,P0DMF6,pep,10,1
adapter256,2,P0DMF6,propep,31,1
adapter256,2,P0DMF7,pep,14,1
adapter256,2,P0DMF7,propep,34,1
adapter256,2,P0DMF9,pep,14,1
adapter256,2,P0DMF9,propep,25,1
adapter256,2,P0DMZ2,pep,30,1
adapter256,2,P0DMZ8,pep,29,1
adapter256,2,P0DMZ8,pep,29,1
adapter256,2,P0DMZ8,pep,29,1
adapter256,2,P0DMZ8,pep,29,1
adapter256,2,P0DMZ8,propep,8,1
adapter256,2,P0DMZ9,pep,29,1
adapter256,2,P0DMZ9,pep,29,1
adapter256,2,P0DMZ9,pep,29,1
adapter256,2,P0DMZ9,pep,29,1
adapter256,2,P0DMZ9,propep,8,1
adapter256,2,P0DN46,pep,24,1
adapter256,2,P0DN46,propep,17,1
adapter256,2,P0DN47,pep,22,1
adapter256,2,P0DN47,propep,19,1
adapter256,2,P0DOZ7,pep,18,1
adapter256,2,P0DOZ7,propep,6,1
adapter256,2,P0DOZ7,propep,15,1
adapter256,2,P0DPE6,propep,24,0
adapter256,2,P0DPL8,pep,14,1
adapter256,2,P0DPL8,propep,25,0
adapter256,2,P0DPL9,pep,18,1
adapter256,2,P0DPL9,propep,22,0
adapter256,2,P0DPM0,pep,14,1
adapter256,2,P0DPM0,propep,26,1
adapter256,2,P0DPM1,pep,16,1
adapter256,2,P0DPM1,propep,27,1
adapter256,2,P0DPT2,pep,16,1
adapter256,2,P0DQJ4,propep,24,1
adapter256,2,P0DQP3,propep,17,0
adapter256,2,P0DQP4,propep,17,1
adapter256,2,P0DQR6,propep,10,1
adapter256,2,P0DRD0,pep,24,1
adapter256,2,P0DRD0,propep,37,1
adapter256,2,P0DRD1,pep,27,1
adapter256,2,P0DRD1,propep,39,1
adapter256,2,P0DRD2,pep,22,1
adapter256,2,P0DRD2,propep,36,1
adapter256,2,P0DRD4,pep,27,1
adapter256,2,P0DRD4,propep,10,1
adapter256,2,P0DRD5,pep,29,1
adapter256,2,P0DRD5,propep,12,1
adapter256,2,P0DRH5,pep,13,1
adapter256,2,P0DRH5,propep,32,1
adapter256,2,P0DRH6,pep,16,1
adapter256,2,P0DRH6,propep,32,1
adapter256,2,P0DRH7,pep,28,1
adapter256,2,P0DRH7,propep,18,1
adapter256,2,P0DRH9,propep,21,0
adapter256,2,P0DRH9,propep,29,1
adapter256,2,P0DRI0,propep,20,0
adapter256,2,P0DRI0,propep,26,1
adapter256,2,P0DRI1,propep,16,0
adapter256,2,P0DRI1,propep,31,1
adapter256,2,P0DRI3,propep,15,1
adapter256,2,P0DSI4,pep,13,1
adapter256,2,P0DSI4,propep,14,1
adapter256,2,P0DSI5,pep,18,1
adapter256,2,P0DSI5,propep,10,1
adapter256,2,P0DSI6,pep,16,0
adapter256,2,P0DSI6,propep,12,0
adapter256,2,P0DSJ4,propep,26,1
adapter256,2,P0DSJ5,propep,24,1
adapter256,2,P0DSJ8,pep,21,1
adapter256,2,P0DSJ8,propep,17,0
adapter256,2,P0DSJ9,pep,21,1
adapter256,2,P0DSJ9,propep,17,0
adapter256,2,P0DSK1,pep,13,1
adapter256,2,P0DSK1,propep,13,0
adapter256,2,P0DSK4,propep,33,0
adapter256,2,P0DUG2,propep,48,1
adapter256,2,P0DUJ5,pep,21,1
adapter256,2,P0DUJ5,propep,23,1
adapter256,2,P0DUQ4,pep,18,1
adapter256,2,P0DUQ4,propep,6,1
adapter256,2,P0DUQ4,propep,15,1
adapter256,2,P0DUQ8,propep,8,1
adapter256,2,P0DV71,pep,21,1
adapter256,2,P0DW72,propep,19,1
adapter256,2,P0DX20,pep,14,0
adapter256,2,P0DX61,pep,29,1
adapter256,2,P0DX61,propep,26,1
adapter256,2,P0DX64,pep,14,1
adapter256,2,P0DX64,propep,29,1
adapter256,2,P0DXT1,pep,22,1
adapter256,2,P0DXT1,propep,34,1
adapter256,2,P0DXT2,pep,27,1
adapter256,2,P0DXT2,propep,38,1
adapter256,2,P0DXT3,pep,27,1
adapter256,2,P0DXT4,pep,27,1
adapter256,2,P0DXT4,propep,38,1
adapter256,2,P0DXT5,pep,27,1
adapter256,2,P0DXT5,propep,34,1
adapter256,2,P0DXT7,pep,20,1
adapter256,2,P0DXT7,propep,30,1
adapter256,2,P0DXT8,pep,26,1
adapter256,2,P0DXT8,propep,10,1
adapter256,2,P0DXT9,pep,26,1
adapter256,2,P0DXT9,propep,10,1
adapter256,2,P0DXU0,pep,26,1
adapter256,2,P0DXU0,propep,10,1
adapter256,2,P0DXU1,pep,28,1
adapter256,2,P0DXU1,propep,12,1
adapter256,2,P0DXZ8,pep,14,1
adapter256,2,P0DXZ8,propep,32,1
adapter256,2,P0DY01,pep,13,1
adapter256,2,P0DY01,propep,32,1
adapter256,2,P0DY02,pep,13,1
adapter256,2,P0DY02,propep,32,1
adapter256,2,P0DY17,pep,13,1
adapter256,2,P0DY17,propep,32,1
adapter256,2,P0DY19,propep,35,0
adapter256,2,P0DY25,pep,28,0
adapter256,2,P0DY25,propep,12,0
adapter256,2,P0DY99,pep,16,0
adapter256,2,P0DY99,propep,24,0
adapter256,2,P10347,propep,24,1
adapter256,2,P10348,propep,18,1
adapter256,2,P10673,pep,6,1
adapter256,2,P10673,pep,20,1
adapter256,2,P10743,propep,15,1
adapter256,2,P10763,propep,35,0
adapter256,2,P10764,pep,34,0
adapter256,2,P10863,propep,21,1
adapter256,2,P10968,propep,15,1
adapter256,2,P10969,propep,15,1
adapter256,2,P11006,pep,6,0
adapter256,2,P11006,pep,23,1
adapter256,2,P11006,pep,6,0
adapter256,2,P11006,pep,23,1
adapter256,2,P11006,pep,6,0
adapter256,2,P11006,pep,23,1
adapter256,2,P11006,pep,6,0
adapter256,2,P11006,pep,23,1
adapter256,2,P11006,pep,6,0
adapter256,2,P11006,pep,23,1
adapter256,2,P11006,pep,6,0
adapter256,2,P11006,pep,23,1
adapter256,2,P11006,propep,8,0
adapter256,2,P11006,propep,11,0
adapter256,2,P11006,propep,11,0
adapter256,2,P11006,propep,11,0
adapter256,2,P11006,propep,11,0
adapter256,2,P11006,propep,11,0
adapter256,2,P11006,propep,12,1
adapter256,2,P11214,propep,12,1
adapter256,2,P11863,propep,19,1
adapter256,2,P12163,propep,22,0
adapter256,2,P12164,propep,24,0
adapter256,2,P12729,propep,21,1
adapter256,2,P12960,propep,19,0
adapter256,2,P13208,pep,21,1
adapter256,2,P13208,pep,21,0
adapter256,2,P13208,pep,21,0
adapter256,2,P13208,pep,21,0
adapter256,2,P13208,pep,21,0
adapter256,2,P13208,pep,21,0
adapter256,2,P13208,pep,21,0
adapter256,2,P13208,pep,21,0
adapter256,2,P13208,pep,21,0
adapter256,2,P13208,pep,21,0
adapter256,2,P13208,pep,21,0
adapter256,2,P13208,pep,21,0
adapter256,2,P13208,propep,46,0
adapter256,2,P13208,propep,18,0
adapter256,2,P13208,propep,18,0
adapter256,2,P13208,propep,18,0
adapter256,2,P13208,propep,18,0
adapter256,2,P13208,propep,18,0
adapter256,2,P13208,propep,18,0
adapter256,2,P13208,propep,18,0
adapter256,2,P13208,propep,18,0
adapter256,2,P13208,propep,18,0
adapter256,2,P13208,propep,18,0
adapter256,2,P13208,propep,18,0
adapter256,2,P13208,propep,12,1
adapter256,2,P13684,pep,25,1
adapter256,2,P13684,pep,14,0
adapter256,2,P14089,propep,8,1
adapter256,2,P14530,propep,18,0
adapter256,2,P14749,propep,23,1
adapter256,2,P14781,propep,26,1
adapter256,2,P15167,propep,21,0
adapter256,2,P15471,pep,13,1
adapter256,2,P15471,propep,28,1
adapter256,2,P15490,propep,13,0
adapter256,2,P15566,pep,28,0
adapter256,2,P15819,propep,8,1
adapter256,2,P16014,pep,11,0
adapter256,2,P16094,propep,17,0
adapter256,2,P16231,propep,13,0
adapter256,2,P16291,propep,18,1
adapter256,2,P16291,propep,35,0
adapter256,2,P16292,propep,18,1
adapter256,2,P16292,propep,35,0
adapter256,2,P16293,propep,35,1
adapter256,2,P16294,propep,18,1
adapter256,2,P16294,propep,44,0
adapter256,2,P16296,propep,18,1
adapter256,2,P16296,propep,42,0
adapter256,2,P16501,propep,35,0
adapter256,2,P16545,propep,35,0
adapter256,2,P17349,propep,16,0
adapter256,2,P17647,propep,35,0
adapter256,2,P17896,propep,24,0
adapter256,2,P18254,propep,35,0
adapter256,2,P18263,propep,9,1
adapter256,2,P18619,propep,18,0
adapter256,2,P19259,propep,25,1
adapter256,2,P19540,propep,18,1
adapter256,2,P19540,propep,32,0
adapter256,2,P19578,pep,34,1
adapter256,2,P19578,propep,26,1
adapter256,2,P19637,propep,12,1
adapter256,2,P20068,pep,6,1
adapter256,2,P20068,pep,13,1
adapter256,2,P20068,pep,5,0
adapter256,2,P20076,propep,21,1
adapter256,2,P20164,propep,7,0
adapter256,2,P20465,pep,11,0
adapter256,2,P20465,pep,11,0
adapter256,2,P20465,pep,11,0
adapter256,2,P20465,pep,11,0
adapter256,2,P20465,pep,11,0
adapter256,2,P20466,pep,11,0
adapter256,2,P20466,pep,11,1
adapter256,2,P20466,pep,11,0
adapter256,2,P21786,pep,13,1
adapter256,2,P21786,propep,15,1
adapter256,2,P21840,propep,22,1
adapter256,2,P22063,propep,25,1
adapter256,2,P22146,propep,31,1
adapter256,2,P22282,propep,5,1
adapter256,2,P22321,propep,15,0
adapter256,2,P22322,propep,16,0
adapter256,2,P22334,pep,27,0
adapter256,2,P22334,pep,21,0
adapter256,2,P22334,propep,25,0
adapter256,2,P22457,propep,17,1
adapter256,2,P22522,propep,15,1
adapter256,2,P22891,propep,17,1
adapter256,2,P23079,propep,11,1
adapter256,2,P23317,propep,8,1
adapter256,2,P23318,propep,5,0
adapter256,2,P23389,pep,11,1
adapter256,2,P23389,pep,14,0
adapter256,2,P23389,pep,13,0
adapter256,2,P23695,pep,34,0
adapter256,2,P23699,propep,18,0
adapter256,2,P24478,propep,19,0
adapter256,2,P25380,propep,23,1
adapter256,2,P25955,propep,5,1
adapter256,2,P26350,pep,28,1
adapter256,2,P27058,pep,18,0
adapter256,2,P27654,propep,24,1
adapter256,2,P28319,propep,22,1
adapter256,2,P28642,propep,24,0
adapter256,2,P28879,pep,19,1
adapter256,2,P28879,propep,29,1
adapter256,2,P29827,pep,19,1
adapter256,2,P30403,propep,16,0
adapter256,2,P30990,pep,5,1
adapter256,2,P30990,pep,13,1
adapter256,2,P30990,pep,5,1
adapter256,2,P31358,pep,12,0
adapter256,2,P31358,propep,25,0
adapter256,2,P31394,pep,14,0
adapter256,2,P31394,propep,23,1
adapter256,2,P31481,propep,17,1
adapter256,2,P31736,propep,29,0
adapter256,2,P31944,propep,5,1
adapter256,2,P31944,propep,6,1
adapter256,2,P31956,propep,31,0
adapter256,2,P31997,propep,29,0
adapter256,2,P32763,pep,11,0
adapter256,2,P32763,propep,25,1
adapter256,2,P33185,propep,20,0
adapter256,2,P33186,propep,20,0
adapter256,2,P33186,propep,19,0
adapter256,2,P33376,propep,14,1
adapter256,2,P33378,propep,26,1
adapter256,2,P33587,pep,14,0
adapter256,2,P33587,propep,23,1
adapter256,2,P33712,propep,35,0
adapter256,2,P33890,propep,20,1
adapter256,2,P34068,pep,9,0
adapter256,2,P34068,propep,30,0
adapter256,2,P34069,pep,9,0
adapter256,2,P34069,propep,32,0
adapter256,2,P34182,propep,18,0
adapter256,2,P35853,propep,11,1
adapter256,2,P36217,propep,14,1
adapter256,2,P36218,propep,32,1
adapter256,2,P37302,propep,35,0
adapter256,2,P38248,propep,23,1
adapter256,2,P40199,propep,24,1
adapter256,2,P40552,propep,24,0
adapter256,2,P40849,pep,9,0
adapter256,2,P40849,propep,29,0
adapter256,2,P41598,propep,19,0
adapter256,2,P41694,pep,34,0
adapter256,2,P42574,propep,9,0
adapter256,2,P42574,propep,19,0
adapter256,2,P42575,propep,8,0
adapter256,2,P43076,propep,31,1
adapter256,2,P47178,propep,23,1
adapter256,2,P48188,propep,24,1
adapter256,2,P48678,propep,15,0
adapter256,2,P48679,propep,15,0
adapter256,2,P49513,propep,7,1
adapter256,2,P50982,pep,18,1
adapter256,2,P50982,propep,27,1
adapter256,2,P50985,pep,16,1
adapter256,2,P50985,propep,23,1
adapter256,2,P51317,propep,8,1
adapter256,2,P51457,propep,35,0
adapter256,2,P51459,pep,34,1
adapter256,2,P51462,propep,35,0
adapter256,2,P54097,propep,25,0
adapter256,2,P55210,propep,22,1
adapter256,2,P55210,propep,8,0
adapter256,2,P55212,propep,23,1
adapter256,2,P55212,propep,14,1
adapter256,2,P55213,propep,9,0
adapter256,2,P55213,propep,19,0
adapter256,2,P55214,propep,22,0
adapter256,2,P55214,propep,8,0
adapter256,2,P55215,propep,8,0
adapter256,2,P55330,propep,19,1
adapter256,2,P55790,propep,41,0
adapter256,2,P55939,propep,36,0
adapter256,2,P55963,pep,25,1
adapter256,2,P55963,propep,25,1
adapter256,2,P56348,propep,5,1
adapter256,2,P56626,propep,30,0
adapter256,2,P56636,pep,16,1
adapter256,2,P56636,propep,27,1
adapter256,2,P56638,pep,16,1
adapter256,2,P56638,propep,23,1
adapter256,2,P56639,pep,16,1
adapter256,2,P56639,propep,23,1
adapter256,2,P56640,pep,15,1
adapter256,2,P56640,propep,23,1
adapter256,2,P56782,propep,24,1
adapter256,2,P56973,pep,15,1
adapter256,2,P56973,propep,26,1
adapter256,2,P58273,propep,24,1
adapter256,2,P58560,propep,11,1
adapter256,2,P58583,propep,8,1
adapter256,2,P58808,pep,13,1
adapter256,2,P58808,propep,29,1
adapter256,2,P58809,pep,12,1
adapter256,2,P58809,propep,30,1
adapter256,2,P58811,pep,19,1
adapter256,2,P58811,propep,22,1
adapter256,2,P59261,pep,26,1
adapter256,2,P59261,propep,22,1
adapter256,2,P59262,pep,26,1
adapter256,2,P59262,propep,22,1
adapter256,2,P59406,propep,6,0
adapter256,2,P59906,pep,22,1
adapter256,2,P59906,propep,33,1
adapter256,2,P59914,propep,27,1
adapter256,2,P60274,pep,19,1
adapter256,2,P60274,propep,23,1
adapter256,2,P68407,pep,26,1
adapter256,2,P68407,propep,22,1
adapter256,2,P68408,pep,26,1
adapter256,2,P68408,propep,22,1
adapter256,2,P68409,pep,26,1
adapter256,2,P68409,propep,22,1
adapter256,2,P68500,propep,27,1
adapter256,2,P68577,pep,37,0
adapter256,2,P68577,propep,19,1
adapter256,2,P69498,propep,5,0
adapter256,2,P69499,propep,5,1
adapter256,2,P69500,propep,5,0
adapter256,2,P69501,propep,5,0
adapter256,2,P69657,pep,13,1
adapter256,2,P69657,propep,27,1
adapter256,2,P69658,pep,18,1
adapter256,2,P69693,propep,24,1
adapter256,2,P69694,propep,24,1
adapter256,2,P69764,pep,10,1
adapter256,2,P69764,propep,26,1
adapter256,2,P69765,pep,10,1
adapter256,2,P69765,propep,28,1
adapter256,2,P69766,pep,11,1
adapter256,2,P69766,propep,29,1
adapter256,2,P69768,pep,11,1
adapter256,2,P69768,propep,26,1
adapter256,2,P69770,propep,17,0
adapter256,2,P69929,pep,27,1
adapter256,2,P69929,pep,27,1
adapter256,2,P69929,pep,27,1
adapter256,2,P69929,pep,27,1
adapter256,2,P69929,pep,27,1
adapter256,2,P69929,pep,27,1
adapter256,2,P69929,propep,11,0
adapter256,2,P69939,propep,8,0
adapter256,2,P69940,pep,8,0
adapter256,2,P69940,pep,10,0
adapter256,2,P70375,propep,17,1
adapter256,2,P70677,propep,9,0
adapter256,2,P70677,propep,19,0
adapter256,2,P81323,propep,14,1
adapter256,2,P81428,propep,20,1
adapter256,2,P81428,propep,28,0
adapter256,2,P81755,pep,13,1
adapter256,2,P81755,propep,31,1
adapter256,2,P81791,propep,21,1
adapter256,2,P81941,pep,25,0
adapter256,2,P81941,propep,21,0
adapter256,2,P82701,pep,45,1
adapter256,2,P82807,propep,20,1
adapter256,2,P82807,propep,28,0
adapter256,2,P83370,propep,20,1
adapter256,2,P83370,propep,28,0
adapter256,2,P83403,pep,39,1
adapter256,2,P83512,propep,14,0
adapter256,2,P84845,pep,13,1
adapter256,2,P84845,propep,22,0
adapter256,2,P85013,pep,16,1
adapter256,2,P85013,propep,28,1
adapter256,2,P85079,propep,23,1
adapter256,2,P85247,propep,40,1
adapter256,2,P85253,propep,40,1
adapter256,2,P85254,propep,40,1
adapter256,2,P85255,propep,40,1
adapter256,2,P85256,propep,40,1
adapter256,2,P85257,propep,40,1
adapter256,2,P85258,propep,40,1
adapter256,2,P85259,propep,40,1
adapter256,2,P85829,pep,13,0
adapter256,2,P85831,pep,12,0
adapter256,2,P85832,pep,14,1
adapter256,2,P85832,pep,14,1
adapter256,2,P85832,pep,20,1
adapter256,2,P85886,pep,18,1
adapter256,2,P85886,propep,27,1
adapter256,2,P85966,pep,45,0
adapter256,2,P85966,propep,37,0
adapter256,2,P86013,pep,30,1
adapter256,2,P86013,propep,24,1
adapter256,2,P86047,pep,31,1
adapter256,2,P86047,propep,24,1
adapter256,2,P86521,pep,43,0
adapter256,2,P89116,propep,28,1
adapter256,2,P89116,propep,11,0
adapter256,2,P91797,pep,42,1
adapter256,2,P91797,pep,26,1
adapter256,2,P97527,propep,27,1
adapter256,2,P97528,propep,29,1
adapter256,2,P97766,propep,36,0
adapter256,2,P97864,propep,23,0
adapter256,2,P97864,propep,8,0
adapter256,2,P98139,propep,18,1
adapter256,2,Q00783,propep,13,1
adapter256,2,Q00829,pep,5,0
adapter256,2,Q00829,propep,39,0
adapter256,2,Q01MB6,propep,26,1
adapter256,2,Q02246,propep,28,1
adapter256,2,Q03029,propep,25,1
adapter256,2,Q03198,propep,14,1
adapter256,2,Q03199,propep,17,0
adapter256,2,Q03561,pep,15,0
adapter256,2,Q03655,propep,26,1
adapter256,2,Q04469,propep,14,1
adapter256,2,Q06135,propep,24,1
adapter256,2,Q06303,propep,47,1
adapter256,2,Q06304,propep,45,0
adapter256,2,Q06305,propep,47,1
adapter256,2,Q06306,propep,40,0
adapter256,2,Q06FX8,propep,24,0
adapter256,2,Q06GS7,propep,22,0
adapter256,2,Q06H14,propep,24,0
adapter256,2,Q06J16,propep,6,1
adapter256,2,Q06RE8,propep,24,0
adapter256,2,Q06SD3,propep,9,1
adapter256,2,Q072L5,propep,10,0
adapter256,2,Q07409,propep,26,1
adapter256,2,Q07488,propep,22,1
adapter256,2,Q07932,pep,48,0
adapter256,2,Q07932,propep,30,1
adapter256,2,Q08193,propep,22,1
adapter256,2,Q08271,propep,24,1
adapter256,2,Q08279,pep,34,0
adapter256,2,Q08676,propep,45,0
adapter256,2,Q08DY9,propep,9,0
adapter256,2,Q08DY9,propep,19,0
adapter256,2,Q09MJ5,propep,24,0
adapter256,2,Q09X34,propep,24,0
adapter256,2,Q0G9N6,propep,24,0
adapter256,2,Q0G9X9,propep,24,0
adapter256,2,Q0GY44,propep,8,0
adapter256,2,Q0GY46,propep,8,0
adapter256,2,Q0IDF4,propep,10,1
adapter256,2,Q0II73,propep,21,1
adapter256,2,Q0JF21,propep,26,1
adapter256,2,Q0NZX5,propep,16,0
adapter256,2,Q0P3J6,propep,8,1
adapter256,2,Q0SRD5,propep,7,0
adapter256,2,Q0TNR9,propep,7,0
adapter256,2,Q0ZJ37,propep,24,0
adapter256,2,Q10XU6,propep,8,1
adapter256,2,Q12039,propep,14,1
adapter256,2,Q12120,propep,41,0
adapter256,2,Q12173,pep,26,1
adapter256,2,Q12218,propep,22,1
adapter256,2,Q12355,propep,25,1
adapter256,2,Q12737,propep,19,1
adapter256,2,Q14002,propep,23,1
adapter256,2,Q14FH4,propep,24,0
adapter256,2,Q14FJ4,propep,22,0
adapter256,2,Q14FJ4,propep,13,0
adapter256,2,Q16992,pep,6,1
adapter256,2,Q16992,pep,6,1
adapter256,2,Q16992,pep,5,1
adapter256,2,Q16992,pep,6,1
adapter256,2,Q16992,pep,5,1
adapter256,2,Q16992,pep,6,1
adapter256,2,Q16992,pep,5,1
adapter256,2,Q16992,pep,6,1
adapter256,2,Q16992,pep,5,1
adapter256,2,Q16992,pep,6,1
adapter256,2,Q16992,pep,5,1
adapter256,2,Q16992,pep,6,1
adapter256,2,Q16992,pep,5,1
adapter256,2,Q16992,pep,6,1
adapter256,2,Q16992,pep,5,1
adapter256,2,Q16992,pep,6,1
adapter256,2,Q16992,pep,5,1
adapter256,2,Q16992,pep,6,1
adapter256,2,Q16992,pep,6,1
adapter256,2,Q16992,pep,6,1
adapter256,2,Q16992,pep,6,1
adapter256,2,Q16992,pep,6,1
adapter256,2,Q16992,pep,6,1
adapter256,2,Q16992,pep,6,1
adapter256,2,Q16992,pep,6,1
adapter256,2,Q16992,pep,6,1
adapter256,2,Q16992,pep,6,1
adapter256,2,Q16992,pep,6,1
adapter256,2,Q16992,pep,6,1
adapter256,2,Q16992,pep,6,1
adapter256,2,Q16992,pep,6,1
adapter256,2,Q16992,pep,6,1
adapter256,2,Q16992,pep,6,1
adapter256,2,Q16992,pep,6,1
adapter256,2,Q16992,pep,5,1
adapter256,2,Q16992,pep,7,1
adapter256,2,Q16992,propep,5,1
adapter256,2,Q16992,propep,5,1
adapter256,2,Q16992,propep,5,1
adapter256,2,Q16992,propep,5,1
adapter256,2,Q16992,propep,5,1
adapter256,2,Q16992,propep,10,0
adapter256,2,Q16992,propep,5,1
adapter256,2,Q16992,propep,10,0
adapter256,2,Q16992,propep,5,1
adapter256,2,Q16992,propep,5,1
adapter256,2,Q16992,propep,11,0
adapter256,2,Q16992,propep,12,0
adapter256,2,Q16992,propep,5,1
adapter256,2,Q16992,propep,25,1
adapter256,2,Q18502,pep,7,1
adapter256,2,Q18502,pep,7,1
adapter256,2,Q18502,propep,44,1
adapter256,2,Q18502,propep,16,1
adapter256,2,Q1A3Q1,pep,15,0
adapter256,2,Q1A3Q1,propep,35,0
adapter256,2,Q1A3Q2,pep,14,0
adapter256,2,Q1A3Q2,propep,35,0
adapter256,2,Q1A3Q6,pep,15,0
adapter256,2,Q1A3Q6,propep,35,0
adapter256,2,Q1A3Q7,pep,19,1
adapter256,2,Q1A3Q7,propep,27,1
adapter256,2,Q1A3Q8,pep,12,0
adapter256,2,Q1A3Q8,propep,35,0
adapter256,2,Q1A3Q9,pep,14,0
adapter256,2,Q1A3Q9,propep,35,0
adapter256,2,Q1A3R0,pep,11,1
adapter256,2,Q1A3R0,propep,26,1
adapter256,2,Q1ACL6,propep,22,1
adapter256,2,Q1ELT9,pep,25,1
adapter256,2,Q1ELT9,propep,40,1
adapter256,2,Q1ELU2,pep,20,1
adapter256,2,Q1ELU2,propep,39,1
adapter256,2,Q1ELU3,pep,20,1
adapter256,2,Q1ELU3,propep,39,1
adapter256,2,Q1ELV0,pep,34,0
adapter256,2,Q1ELV0,propep,41,1
adapter256,2,Q1G3I0,propep,25,1
adapter256,2,Q1I8U1,propep,33,0
adapter256,2,Q1KVV2,propep,9,1
adapter256,2,Q1KXX6,propep,22,0
adapter256,2,Q1L658,propep,20,1
adapter256,2,Q1L658,propep,27,0
adapter256,2,Q1L659,propep,20,1
adapter256,2,Q1L777,pep,16,1
adapter256,2,Q1PBD1,propep,16,0
adapter256,2,Q1W694,propep,8,1
adapter256,2,Q1W695,propep,8,1
adapter256,2,Q1XDH0,propep,8,1
adapter256,2,Q20EY3,propep,6,1
adapter256,2,Q24049,pep,24,0
adapter256,2,Q24049,pep,32,0
adapter256,2,Q24049,propep,29,0
adapter256,2,Q27441,pep,40,1
adapter256,2,Q27441,pep,31,0
adapter256,2,Q27J48,propep,8,0
adapter256,2,Q27Q54,propep,5,1
adapter256,2,Q28106,propep,19,0
adapter256,2,Q28198,propep,12,1
adapter256,2,Q28278,pep,11,0
adapter256,2,Q28278,propep,22,1
adapter256,2,Q28315,pep,14,0
adapter256,2,Q28315,propep,24,1
adapter256,2,Q28380,pep,11,0
adapter256,2,Q28380,propep,25,1
adapter256,2,Q28661,pep,15,0
adapter256,2,Q28661,propep,9,0
adapter256,2,Q28896,pep,20,0
adapter256,2,Q28896,propep,22,0
adapter256,2,Q2EI26,propep,23,0
adapter256,2,Q2F9P2,propep,40,1
adapter256,2,Q2F9P4,propep,40,1
adapter256,2,Q2I2R6,pep,19,0
adapter256,2,Q2I2R6,propep,24,0
adapter256,2,Q2I2R7,pep,17,1
adapter256,2,Q2I2R7,propep,27,1
adapter256,2,Q2I2R8,pep,16,1
adapter256,2,Q2I2R8,propep,27,1
adapter256,2,Q2L8Z0,propep,24,0
adapter256,2,Q2MIB7,propep,24,0
adapter256,2,Q2MIK4,propep,24,0
adapter256,2,Q2PFV2,propep,9,0
adapter256,2,Q2PFV2,propep,19,0
adapter256,2,Q2PMS6,propep,24,0
adapter256,2,Q2RQ23,propep,13,1
adapter256,2,Q2V2G5,pep,10,0
adapter256,2,Q2V2G5,propep,21,0
adapter256,2,Q2VEJ3,propep,24,0
adapter256,2,Q2XQ09,propep,5,1
adapter256,2,Q31CR0,propep,9,1
adapter256,2,Q32LD3,propep,21,1
adapter256,2,Q32RP3,propep,21,1
adapter256,2,Q32RW6,propep,21,1
adapter256,2,Q33C56,propep,24,0
adapter256,2,Q3BAQ9,propep,24,0
adapter256,2,Q3C1G0,propep,24,0
adapter256,2,Q3E880,pep,13,1
adapter256,2,Q3ECM0,pep,15,1
adapter256,2,Q3ECM0,pep,15,1
adapter256,2,Q3ECM0,propep,10,0
adapter256,2,Q3ECM0,propep,6,0
adapter256,2,Q3M4K0,propep,8,1
adapter256,2,Q3T0P5,propep,23,1
adapter256,2,Q3T0P5,propep,14,1
adapter256,2,Q3YEE9,pep,11,1
adapter256,2,Q3YEE9,propep,25,1
adapter256,2,Q3YEG9,pep,15,1
adapter256,2,Q3YEG9,propep,26,1
adapter256,2,Q3YEH0,pep,11,1
adapter256,2,Q3YEH0,propep,25,1
adapter256,2,Q3YEH1,pep,15,1
adapter256,2,Q3YEH1,propep,30,1
adapter256,2,Q3YEH2,pep,12,1
adapter256,2,Q3YEH2,propep,26,1
adapter256,2,Q3YEH4,pep,14,1
adapter256,2,Q3YEH4,propep,26,1
adapter256,2,Q3YEH5,pep,15,0
adapter256,2,Q3YEH5,propep,22,0
adapter256,2,Q3YEH6,pep,11,1
adapter256,2,Q3YEH6,propep,26,0
adapter256,2,Q3YEH7,pep,12,1
adapter256,2,Q3YEH7,propep,27,1
adapter256,2,Q3ZD69,propep,15,0
adapter256,2,Q3ZJ18,propep,7,1
adapter256,2,Q41142,propep,30,0
adapter256,2,Q43007,propep,46,0
adapter256,2,Q46HA2,propep,10,1
adapter256,2,Q49L15,propep,24,0
adapter256,2,Q4G3C7,propep,8,1
adapter256,2,Q4GWU5,pep,14,0
adapter256,2,Q4GWU5,propep,14,1
adapter256,2,Q4QXT9,propep,20,1
adapter256,2,Q4V3D2,propep,26,1
